tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,\N,133,Drama,8.7,1056738
tt0073629,movie,The Rocky Horror Picture Show,The Rocky Horror Picture Show,0,1975,\N,100,"Comedy,Horror,Musical",7.4,164832
tt0074119,movie,All the President's Men,All the President's Men,0,1976,\N,138,"Drama,History,Thriller",7.9,124374
tt0074285,movie,Carrie,Carrie,0,1976,\N,98,"Horror,Mystery",7.4,203689
tt0074486,movie,Eraserhead,Eraserhead,0,1977,\N,89,"Fantasy,Horror",7.3,125270
tt0074958,movie,Network,Network,0,1976,\N,121,Drama,8.1,167987
tt0075005,movie,The Omen,The Omen,0,1976,\N,111,"Horror,Mystery",7.5,129091
tt0075148,movie,Rocky,Rocky,0,1976,\N,120,"Drama,Sport",8.1,618966
tt0075314,movie,Taxi Driver,Taxi Driver,0,1976,\N,114,"Crime,Drama",8.2,902972
tt0075686,movie,Annie Hall,Annie Hall,0,1977,\N,93,"Comedy,Romance",8,275219
tt0075860,movie,Close Encounters of the Third Kind,Close Encounters of the Third Kind,0,1977,\N,138,"Drama,Sci-Fi",7.6,213955
tt0076752,movie,The Spy Who Loved Me,The Spy Who Loved Me,0,1977,\N,125,"Action,Adventure,Thriller",7,114928
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,0,1977,\N,121,"Action,Adventure,Fantasy",8.6,1430822
tt0076786,movie,Suspiria,Suspiria,0,1977,\N,99,Horror,7.3,103479
tt0077402,movie,Dawn of the Dead,Dawn of the Dead,0,1978,\N,127,"Horror,Thriller",7.8,127106
tt0077416,movie,The Deer Hunter,The Deer Hunter,0,1978,\N,183,"Drama,War",8.1,357668
tt0077631,movie,Grease,Grease,0,1978,\N,110,"Comedy,Musical,Romance",7.2,295906
tt0077651,movie,Halloween,Halloween,0,1978,\N,91,"Horror,Thriller",7.7,303172
tt0077975,movie,National Lampoon's Animal House,National Lampoon's Animal House,0,1978,\N,109,Comedy,7.4,127953
tt0078346,movie,Superman,Superman,0,1978,\N,143,"Action,Adventure,Sci-Fi",7.4,185233
tt0078748,movie,Alien,Alien,0,1979,\N,117,"Horror,Sci-Fi",8.5,934708
tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,\N,147,"Drama,Mystery,War",8.4,700692
tt0079116,movie,Escape from Alcatraz,Escape from Alcatraz,0,1979,\N,112,"Action,Biography,Crime",7.6,145214
tt0079417,movie,Kramer vs. Kramer,Kramer vs. Kramer,0,1979,\N,105,Drama,7.8,152808
tt0079470,movie,Life of Brian,Life of Brian,0,1979,\N,94,Comedy,8,419143
tt0079501,movie,Mad Max,Mad Max,0,1979,\N,88,"Action,Adventure,Sci-Fi",6.8,218889
tt0079522,movie,Manhattan,Manhattan,0,1979,\N,96,"Comedy,Drama,Romance",7.8,145648
tt0079574,movie,Moonraker,Moonraker,0,1979,\N,126,"Action,Adventure,Sci-Fi",6.2,107526
tt0079817,movie,Rocky II,Rocky II,0,1979,\N,119,"Drama,Sport",7.3,228125
tt0079944,movie,Stalker,Stalker,0,1979,\N,162,"Drama,Sci-Fi",8.1,142446
tt0080120,movie,The Warriors,The Warriors,0,1979,\N,93,"Action,Crime,Thriller",7.5,108999
tt0080339,movie,Airplane!,Airplane!,0,1980,\N,88,Comedy,7.7,256462
tt0080455,movie,The Blues Brothers,The Blues Brothers,0,1980,\N,133,"Action,Adventure,Comedy",7.9,211133
tt0080487,movie,Caddyshack,Caddyshack,0,1980,\N,98,"Comedy,Sport",7.2,125685
tt0080678,movie,The Elephant Man,The Elephant Man,0,1980,\N,124,"Biography,Drama",8.2,255037
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980,\N,124,"Action,Adventure,Fantasy",8.7,1360079
tt0080761,movie,Friday the 13th,Friday the 13th,0,1980,\N,95,"Horror,Mystery,Thriller",6.4,155350
tt0081398,movie,Raging Bull,Raging Bull,0,1980,\N,129,"Biography,Drama,Sport",8.1,374617
tt0081505,movie,The Shining,The Shining,0,1980,\N,146,"Drama,Horror",8.4,1089044
tt0081573,movie,Superman II,Superman II,0,1980,\N,127,"Action,Adventure,Sci-Fi",6.8,113379
tt0082010,movie,An American Werewolf in London,An American Werewolf in London,0,1981,\N,97,"Comedy,Horror",7.5,118389
tt0082096,movie,Das Boot,Das Boot,0,1981,\N,149,"Drama,War",8.4,261602
tt0082198,movie,Conan the Barbarian,Conan the Barbarian,0,1982,\N,129,"Action,Adventure,Fantasy",6.9,160059
tt0082340,movie,Escape from New York,Escape from New York,0,1981,\N,99,"Action,Adventure,Sci-Fi",7.1,154467
tt0082398,movie,For Your Eyes Only,For Your Eyes Only,0,1981,\N,127,"Action,Adventure,Thriller",6.7,107092
tt0082406,movie,The Fox and the Hound,The Fox and the Hound,0,1981,\N,83,"Adventure,Animation,Drama",7.2,100340
tt0082495,movie,Halloween II,Halloween II,0,1981,\N,92,Horror,6.5,100559
